helsinki-testbed2-android,Mikko Vestola
tasks,Alex Baker^Alexey-V^Andrey Marchenko^Corey Downing^Jacek Sowiński^Jeff Chern^Joachim Mailänder^Johan Walles^Jon^Joshua Gross^Kevin D Jones^Khaled Sa^KrodukCZ^Kyle Altendorf^MPK44^Marco Paga^Paul Sarbinowski^StingerAJ^Tim Su^amytang0^atshaw^bigwave^eparvand^jimmyscott^melissayu^rip238
sudowars,Moritz Lüdecke^adrianvielsack^philipflohr
connectbot,AgentHH^Alex^Arthur Hsu^Casey Burkhardt^Clark Boylan^Darren Salt^Douglas Thrift^Georg Lukas^Hartmut Goebel^Jeff Sharkey^Jeremy Klein^Joel Blumen^John Heroy^Julian Brost^Kenny Root^Kensuke Matsuzaki^Marc K.^Matt Johnston^Mladen Pejaković^Paul Evans^Perry^Ryan Hansberry^Sam Blackshear^SweetLion^Torne Wuff^Trygve Aaberge^Yaron Shahrabani^khorimoto^pcc^toff
epmobile,David Mann
TintBrowser,Anasthase^PromyLOPh^dregov
ShowMeHills,nikcain^wardies
ad-away,0-kaladin^Bob Igo^Cadi^Dennis123789^Dominik Schürmann^Dāvis Mošenkovs^Jan Chren^Joery Zegers^Lo Huot^Matthias Urhahn^Phoenix09^Terence Eden^William Budington^strel
screen-notifications,Jan Bollacke^Luke Korth
androidclient,Alex^Andrea Cappelli^Aracnus^Danial Behzadi^Daniele Ricci^Hysyn Hejdyri Nysyb^J'informatique^Josh4all^LuPa^Manizuca^Markus Büttner^Mars Fohroer^Mladen Pejaković^Mohammad Parvin^Neofytos Kolokotronis^Sebastian Pipping^Slobodan Simić^Suso Comesaña^Sylvia van Os^Viktor Filinkov^Xinxin Jin^gpalleschi^larjona^naofum^necik^njean42^relan^utkb^wadah79^webratte
openlaw,Jason Lally^Sean Knox
SafeSlinger-Android,Michael Farb^SafeSlinger Project^Vinay Ramkrishnan
NFC-Key,Mateusz Szafraniec^Patrick Neumann
FBReaderJ,Ahmed Saidi^Alex Turkin^Alexey Borzenkov^Alexey Stukalov^Alfonso Montero^Andrey Tumanov^Danie Roux^Dennis Sheil^Dmitri Yuranov^Dmitriy Kazimirov^Frank Fesevur^Igor Marques^Lidia Alekseeva^MaDill^Mathias Monnerville^Max Lyashuk^Mikhail Sobolev^Nikolay Pultsin^Shelley Shyan^Steven Huang^TAKAHASHI Tamotsu^Tomasz Długosz^Trottel^Vasiliy Bout^Yury Chernyavskiy^dlmv^itkach^sabulous^www.bibliotecaortodoxa.ro^Андрей
BetterBatteryStats,Adam Shanks^Ali Shariat^Andrey Khitryy^Daniel Velazco^Devarajan Narayanan^Eric Mourougandy^GitSpoon^Hrvoje^Jonas Kalderstam^Kevin^Keyan Mobli^Koushik Dutta^Lukáš Lipták^Matthias B.^Michael^Minty123^NitroG42^PoonChiTim^Rafi Khardalian^Stefano^Steve Kondik^Takuo Kitame^The Gitter Badger^Tomáš Procházka^asksven^gaich^mag01^marbat87^nobnut^vldesco
sophia_oss,Huan Truong
AnySoftKeyboard,Aleś Bułojčyk^Andrew Shadura^Chahk^Daniele Gobbetti^Hugo Lopes^Jorge (Hezi^Lado Kumsiashvili^Matthias Blümel^Menny Even Danan^Pander^Simon Volpert^TheNetStriker^Tito^kati42^lubekgc
transdroid,Alexander Meshcheryakov^Dan Pasanen^Daniel Kimsey^Eric Kok^Florian Schmaus^Gabor Foldvari^Hadley Canine^Johan Deckmar^Jonas Kalderstam^Mathijs van de Nes^Pedro Larroy^Phil Dykman^Piotr Gąsior^Tom Briden^strudlez
MyExpenses,Ayman Abdel Ghany^Michael Totschnig^Tulliver^bountysource-support^christoft^gudrunto^kas70^lauco74
logmein-android,Ashish Bansal (mr.phantom^Bitdeli Chef^Making GitHub Delicious.^Shubham Chaudhary^Tanjot^Varun^vivekagg
vimtouch,David Tao^Jack Palevich^Nathaniel Wesley Filardo^Vytautas Šaltenis
smsdroid,Boris Wachtmeister^Check your git settings!^David Strauss^Felix Bechstein^Lado Kumsiashvili^Marek Wehmer^Sebastian Wilzbach^Yepang Liu^apictor^bluebrother^mikebl71^xim737
PhotoPhase,Jorge Ruesga^Michael Bestas^ciwrl^djMesias^maniac103
TransportsRennes,Guiheux Steven^Jean-Louis Jouannic^Yan Bonnel
DroidBeard,Daniele Venturino^Rob^serramat
Pixelesque,RJ
AndroidCaldavSyncAdapater,Andrew Engelbrecht^David Boho^David Lechner^Gérald GARCIA^timoberger^yvesf
FasterGPS,Ciaran Gultnieks^Dominik Schürmann
AlarmClock,Andy McFadden^Brad Fitzpatrick^Daniel Sandler^Jack Palevich^Jeff Brown^Jeff Hamilton^Kenny Root^Mike Lockwood^RoboErikG^Romain Guy^Yuriy Kulikov^chethaase^dmitriplotnikov^sheremi^wangying1015
k-9,Andrew Chen^Andrew Gaul^András Veres-Szentkirályi^Apoorv Khatreja^Art O Cathain^Ashley Willis^Bao-Long Nguyen-Trong^Bradley Young^Daniel I. Applebaum^Dominik Schürmann^Eon Jeong^Erkan^Fiouz^Jan Berkel^Jan Urbánek^Jani Kinnunen^Jesse Vincent^Koji Arai^Marcus Wolschon^Matthew Brace^Philip^Thialfihar^Vincent Breitmoser^cketti^dzan^m0vie^maniac103^pyler^tobiasbaum^zjw
dmix,Arnaud Barisain-Monrose^Avuton Olrich^Benoit Duffez^Damian Nowak^Daniel^Daniel Iñigo^Daniel Schoepe^Dennis Reimers^Felix Bechstein^Frank Tang^Guillaume Revaillot^John Bäckstrand^Jörg Thalheim^Kent Gustavsson^Konstantin Zudov^MaDill^Matt Black^Michael Schuerig^Nick Steel^Pander^Phil Chandler^Philippe Arnone^Stefan Richter^hurzl^jcnoir^jcsaaddupuy^jpeitz^lauregch^psergy^rcohen2000
toposuite-android,Kevin Gillieron^Robin Hahling
mirakel-android,Alexander Käßner^Anatoly Zelenin^Georg Semmler^Jörg Thalheim^Kevin Gaudin^Mirakel^codingdave^rsudev
SmartReceiptsLibrary,Akhyar Amarullah^Will Baumann
PinDroid,Dima Gerasimov^Helge Plaschke^crasm^jslag^maxpower47
afwall,/usr/local/ΕΨΗΕΛΩΝ^Adam Mróz^CHEF-KOCH^Germain Z.^Gitoffthelawn^Kevin Cernekee^Kunal Gupta^Magissia^Phylon^Richard Hansen^Sanket^Yongce Tu^an0n981^shenm233^ukanth
WalletCordova,Bit451^David Dworken^GreenAddress^Jerzy Kozera^Nicolas Bacca
Anki-Android,Antoine Schweitzer-Chaput^Brennan D'Aguilar^Casey Link^Cyril Michel HANSEN^Daniel Svärd^Diogo Kersting^Edu Zamora^Flavio Lerda^Jan Berkel^Jean-Michel Fayard^Jordi Chacón^Kieran Clancy^Konstantinos Spyropoulos^Leonidas Spyropoulos^M U^Martin André^Nicolas Raoul^Pablo Roman^Paolo G. Giarrusso^Patrik Ackland^Rick Gruber-Riemer^Tomasz Mirski^Vincent van Ravesteijn^Zak van der Merwe^greencrab^grizzancs^ingmar-^marek-jasovsky^nobnago^travis
Subsonic,Aaron^Ben Gadbois^Caleb Gingles^Debugs^François-Xavier Thomas^Kurt Hardin^Mark Avenius^MarkAdamson^Patrik Johansson^Scott Jackson^Scott Moak^Surfoo^Thomas Durieux^Thomas Knepper^Tom Briden^YSmhXQDd6Z^mike-s123
OpenBikeSharing,Balázs Úr^Bruno Parmentier^Caner Başaran^Fabio Mazza^Franco^Kristoffer Grundström^Lluís Esquerda^Sebastian Szymbor^Weblate push user^benoitrion^comradekingu^frazzmark^jsmakaayb^naofum
reddinator,Adam Jacquier-Parr^Vishnu Rajeevan^bzs2^micwallace
DroidUPnP,Alexandre Alapetite^Aurélien Chabot^Benny Jacobs^Carlos Solís^ChDF T^Dietrich Schulten^escoand
owncloud_android,Andy Scherzinger^Bartosz Przybylski^Carla Schroder^Daniel Molkentin^David A. Velasco^David Boho^Gurpreet Singh^Javier Gonzalez^Jesús Recio Rincón^Jorge Antonio Díaz-Benito Soriano^Juan Carlos González Cabrero^Keith Abdulla^Lukas Reschke^LukeOwncloud^Magnus Sjöqvist^Marcello Steiner^Matthias^Mik-^Pro9^Puri García Romeralo^Raquel Pérez Bartolomé^Sudhir Khanger^Sven Aßmann^Thomas Müller^Thorsten^Tobias Kaminsky^grecep^jabarros^loripino21^owncloud-bot
frostwire-android,Agava46^Alden Torres^Amin Shah Gilani^Angel Leon^BHC^Denis Sermukhamedov^Dionysis Zindros^Emil Suleymanov^FrostWire^IreuN^John Bafford^Jose Molina^Kamil Janku^Marcelina Knitter^Michael Mestnik^Paulina Leon^Sebastian^Serrae^X-NicON^darthxjanus^jeromemorignot^kad3mlia^muckachina^nalesnikld^naofum^nisrmasr^tati110
SubtleNews_Android_App,Arnav Gupta^Saurav Tomar^Umair Khan
Androzic,Andrey Novikov^david-collett
iFixitAndroid,Aaron Rivera^Andrew Pirondini^Daniel Beardsley^Kyle Wiens^Marc Zych^MatthiasHuisken^Samuel Taylor^Thomas Soria^Tim Asp^Walter Galan
Clover,Andrea Bergamasco^Andy Klimczak^Braeden Smith^Florens^KOSBUM^Kevin Richter^Mez Pahlan^Nikola Yanakiev^Siema^Sietsem^iamzim101^nopjmp^vaguelyasian
opacclient,AdamLazarus^Boris Kraut^Caroline Ho^Ceasar Jimenez^Johan von Forstner^Nico Puhlmann^Nicole Klünder^Patrick Geselbracht^Raphael Michel^Simon Legner^Sulekha Alse^Tobias Preuss^YKassim^ckeen^hurzl^ruediger-w
PageTurner,Alex Kuiper^Almajara Oman^Angus Gratton^FayaJewel^Gregg Hernandez^Joel Pedraza^Lorenzo J. Lucchini^Milad Khajavi^Patrick Schweizer^Rob Hoelz^Ryan Mulligan^Skyper^Thomas den Hollander^nalor^raphikBIS^tundebabzy
SMSSync,Alex Anderson^Artem^Arthur Buliva^Bitdeli Chef^Heather Leson^Henry Addo^Kamil Kalfas^Kirk Saviour^Michael Vorburger^Michal Buras^Milan Andric^Ollie Bennett^Salama AB^Sorin Pohontu^Steve^Tobias Quinn^Tomasz Stalka^Vaneyck Seme^kkanigowski^mblaszkowski^rafalsliwinski^swoertz
OpenWatch-Android,David Brodsky^Rich Jones
friendica-for-android,Hauke Altmann^Max Weller^Silke Meyer^fabrixxm^fermionic
opentraining,Andrea Brancaleoni^Christian Skubich^Jörg Thalheim^Roland Geider^naofum
sls,Adam Renberg^Anton Romanov^Brendan Shillingford^Bryan Sills^Cees-Jan Kiewiet^Debugs^Dmitry Verkhoturov^Dostoi^Elliott Eggleston^Facundo Cerezo^Ilja Gubins^Ivan Martynov^Jad Kik^Jens Møller^Joel Teichroeb^Jonathan Word^Joseph Cooper^Luis Bandala^Malachi Soord^Mendelson Gusmão^Mikhail Terentiev^Peter Repukat^Pierre Duchemin^Sean O'Neil^Sebastian Herrmann^Shahar Kosti^ksz16^moshpirit^yarik2720
android,Jeff^Marcelo Póvoa^bittachi^ce-4^dliw^itkach^Артем
gnucash-android,Alceu Rodrigues Neto^Aleksey Ivanovskiy^Alex Lei^Alexander Galanin^Caesar Wirth^Christian Stimming^Cristian Marchi^Eric Daly^Felipe Morato^Geert Janssens^Israel Buitron^Jorge Martínez López^Lian Kai^Mark Haanen^Ngewi Fet^Nicolas^Oleg Kosmakov^Oleksandr Tyshkovets^Pedro Bastos das Neves^PermCoelacanths^Salama AB^Sebastian Szymbor^Sigurd Gartmann^Thomas^Vladimir Rutsky^Yongxin Wang^pedroabel^windwarrior^yourealwaysbe^Àlex Magaz Graça
scrumchatter,Carmen Alvarez
Standalone-Calendar,Andrew Jiang^Andy McFadden^Brad Fitzpatrick^Christian Mehlmauer^Christopher R. Wren^Daniel Sandler^Dominik Schürmann^Fábio Silva^Jeff Brown^Jeff Hamilton^Jeff Sharkey^Jim Shuma^Jorge Ruesga^Kenny Root^Kevin^Marco Brohet (cobje^Michael Bestas^Ondřej Zima^PETER Delphin^Ricardo Cerqueira^RoboErikG^Steve Kondik^Tamás Tóth^arnaullv^christianrobertson^dmitriplotnikov^fredquintana^maniac103^mikejurka^wangying1015
moneybalance,Gilles Coulais^Ingo van Lil^Vogeltak^monsieurmartin^orthographic-pedant^perdigano
Atomic,14mRh4X0r^Brion Vibber^Christoffer Tibell^Daniel E. Moctezuma^Diego Kuperman^Innocenty Enikeew^James Geboski^Jonas Häggqvist^Jose Carlos Garcia Sogo^K.G.^Making GitHub Delicious.^Matt Mastracci^Michael Imamura^Morgan Gangwere^Payton Quinn^Remi Rampin^Ricky Elrod^Sebastian Kaspari^Steven Luo^Thomas Martitz^Torben Nielsen^chantra^liato
bitcoin-wallet,Andreas Schildbach^Carlos Sessa^David Nemcok^Joye Lin^Matija Mazi^Matt Corallo^Michael Kaiser^Michael Rotarius^Michael Shick^Oscar Guindzberg^Saïvann Carignan^Shawe^Thomas König^Will Shackleton^cornwarecjp^gustav-wildearth^pY4x3g^pryds^sandakersmann^serans1^taku0
AcDisplay,Aidan Follestad^Artem Chepurnoy^EnricoD ^Germain Z.^Luca Stefani^Mitchell^Sean Molenaar^kuyan
gpslogger,Bernhard Froehler^Clyde Balneaves^Fi156^Francisco Reynoso^Gastón Iván^JJ Ford^Jeroen van Wilgenburg^Jonas Schmid^Maribel D^Philip Manavopoulos^Szymon Sobik^Xinxin Jin^ciakpey^cwarren-qc^dlichtistw^gusr^mendhak^tsteven4
Android-Remote,Andreas^ArnaudBienner^Calum McCall^Clementine Buildbot^Daniel^Fred G^Frieder Bluemle^John Maguire^Kuitsi^Matt Clarke^McLoo^Platon Efimov^plafü
andlytics,Alan Evans^Alessandro Persiano^Andy Scherzinger^Arkaitz Osa^Bernat Borrás Paronella^Bruno Mendola^CrosseyeJack^David Kirchner^Giorgi^Goddchen^Jc Miñarro^Matthias Urhahn^Maurizio Pinotti^Melvin^Nikolay Elenkov^Rob^Tobias Preuss^Toon Schoenmakers^Vadim Kotov^Will Lunniss^devwom^fda77^fredpedersen^joeykrim^ligi^tosa^yulin2
vanilla,Adrian^Alexandre Chouinard^Austin S.^Becky Van Bussel^Dan Dumont^Dane MacMillan^Fred Wu^Igor Tarasov^James Ward^Jason Barnabe^John Ashton^Julian Delphiki^Kasper Isager^Lincoln Russell^Mark O'Sullivan^Matthew Pietz^Robin^Roman Vasilev^Ryan^Samuel Hilson^Satananas^Stephane LaFleche^Tim Gunter^Todd Burry^Zachary Doll^bleistivt^evach-vf^korelstar^mtschirs^nervoustwit
Android-Terminal-Emulator,Alexander--^Dan Stahlke^Eug89^Frank P. Westlake^Gustavo Rosa^Jack Palevich^Jacob Müller^Jochen Sprickerhof^Josh Stone^Kendall^Lars Grefer^László Gárdonyi^Marco Brohet (cobje^Masaki Muranaka^McGiverGim^Ondřej Zima^Patrik^Paul Sokolovsky^Ricardo Cerqueira^Robert Ewald^Steve Kondik^Steven Luo^Vladislav Koldobskiy^druzus^dvhh^i^maniac103^pyler^serjbog^splondike
QuasselDroid,Adrian Kjær Eriksen^Andrew Gillard^Bryan Kok^Chirayu Desai^Daniel Schaal^Dennis Nienhüser^Dirk Rettschlag^Hendrik Leppkes^Janne Koschinski^Johannes Barop^Ken Viktil^Magnus Fjell^Michael &quot;brot&quot; Groh^Michael Marley^Nils Schweinsberg^Sean McNamara^ShadowNinja^Sjors Gielen^Stian Veum Møllersen^Tupshin Harper^davidvollmar^freqmod^lahwran^martin
andstatus,Check your git settings!^Dominic Jodoin^Juraj Fiala^Kevin C.^Torgny Bjers^Yuri Volkov^matthiasjordan^moshpirit^vinzv
OpenRedmine,Aleksandr Belugin^Jose Manuel^Kevin Morin^Peng Gao^in dow
Tacere,Jonathan Nelson
SimpleExplorer,Connor Rigby^Daniel F^FLOSSingIsImportant^Faisal Hameed^Geonu Kang^Ingu Kang^Jack Phoenix^M2ck^Matt Booth^drextest^pyler^robi772^taocipian
android-bankdroid,Adam Nybäck^Anders Waldenborg^DEGE1^Emil Andersson^Emil Hesslow^Erik Fredriksen^Fredrik Erlandsson^Fredrik Lindberg^Joakim Lundborg^Joakim Tufvegren^Johan Sköld^Johan Walles^Jonas Groth^Jonathan Hagberg^Jonathan Hjertström^Linus^Magnus Andersson^Magnus Hagander^Mathias Åhsberg^Per Wigren^Pierre Chateau^Robert Högberg^Snaah^Tim Jansson^Wictor^bjooork^d95andek^liato^martach^sed03
periodical,Arno Welzel^HubGlitter^Pander^Valerio Bozzolan^Wjatscheslaw
reader,Benjamin Gamard^Derek Schrock^Jean-Marc Tremeaux^Marc Nause^PCSG^Pacien^杨文_惘迷
android_packages_apps_Camera2,Andy Huibers^Chris Craik^Daniel Sandler^Earl Ou^Elliott Hughes^Flavio Lerda^Jeff Brown^Jeff Sharkey^Jiawen (Kevin^Justin Koh^Michael Bestas^Narayan Kamath^Sam^Sascha Häberling^Steve Kondik^bgeorgescu^blunden^christianrobertson^doris4lt^hasinoff^iam^jafu888^maniac103^mikejurka^mrasz^mrenn^rubenbrunk^scottamain^stephenhines^wangying1015
open-keychain,007durgesh219^Adithya Abraham Philip^Alex Fong Jie Wen^Andrea Torlaschi^Art O Cathain^Bhargav Golla^Brian C. Barnes^Daniel Albert^Daniel Haß (FillFeile^Daniel Ramos^Dominik Schürmann^Emantor^Greg^Honnel^Ishan Khanna^Joey Castillo^Kai Jiang^Manoj Khanna^Marvin W^Miroojin Bakshi^Nikhil Peter Raj^Nikita Mikhailov^Paul Sarbinowski^Sreeram Boyapati^Thialfihar^Tim Bray^Victor Hazali^Vincent Breitmoser^ashh87
Book-Catalogue,Ciaran Gultnieks^Daniel Kubitza^Dimitris Klisiaris^Emir^Eugenio Davolio^Evan Leybourn^Filipe A Ximenes^Gideon van Melle^Gilles Coulais^Grunthos^Guillaume SMAHA^Imkal^Jan Novacek^Olivier Grégoire^Robert Wetzlmayr^Silin Nick^UmutCC^jgaldo
WordPress-Android,Aagam Shah^AftonTroll^Alex^Dan Roundhill^Danilo Ercoli^Eric^Fadil Sutomo^James Hu^Jonas Gehring^Jorge Bernal^Klymentiy Haykov^Kristian Sloth Lauszus^Matt Bumgardner^Maxime Biais^Mohammad Jangda^Nawab Hussain^Nick Bradbury^Oguz Kocer^Ondrej Ruttkay^Rishabh Makhija^Robert "Beau" Collins^Sendhil Panchadsaram^Stefanos Togoulidis^Tony Rankin^Tyler Heck^Will Kwon^Will Norris^mzorz^solinger10^xtreme-fredrich-ombico